discardDuplicatesBeforeUselessCards	waitForGoldenGun	chooseScrapOverUnknownShelf	maxConsecUselessUnknownShelfDraws	wins
0.105	0.226	0.72	3	520
0.796	0.683	0.952	4	279
0.783	0.04	0.896	2	376
0.921	0.849	0.295	4	468
0.271	0.827	0.335	4	502
0.567	0.696	0.083	1	571
0.727	0.411	0.248	1	602
0.332	0.175	0.087	6	648
0.794	0.513	0.995	6	258
0.273	0.324	0.508	7	597
0.858	0.797	0.444	6	495
0.752	0.993	0.2	7	122
0.204	0.97	0.564	10	217
0.587	0.952	0.041	4	326
0.094	0.959	0.909	9	134
0.23	0.741	0.094	5	570
0.931	0.404	0.109	7	618
0.332	0.762	0.677	10	482
0.065	0.381	0.599	10	572
0.788	0.127	0.332	4	647
0.888	0.121	0.34	5	631
0.352	0.876	0.664	3	408
0.994	0.327	0.936	5	337
0.197	0.656	0.224	1	567
0.84	0.592	0.547	4	498
0.166	0.828	0.218	1	505
0.871	0.853	0.725	1	362
0.249	0.223	0.281	7	629
0.311	0.309	0.263	5	632
0.575	0.98	0.508	10	160
0.642	0.097	0.731	5	526
0.037	0.44	0.098	5	646
0.221	0.773	0.114	1	570
0.109	0.479	0.602	1	552
0.127	0.992	0.093	1	154
0.363	0.259	0.97	3	279
0.007	0.705	0.867	8	356
0.2	0.783	0.411	4	538
0.953	0.997	0.53	5	90
0.357	0.418	0.161	1	609
0.893	0.277	0.175	6	646
0.575	0.781	0.846	2	351
0.094	0.41	0.399	7	597
0.502	0.357	0.931	9	328
0.758	0.677	0.876	4	344
0.779	0.555	0.292	4	569
0.548	0.618	0.597	6	539
0.255	0.378	0.63	2	578
0.517	0.258	0.697	1	557
0.795	0.308	0.567	8	594
0.257	0.849	0.531	8	475
0.847	0.668	0.433	5	530
0.959	0.724	0.432	3	535
0.696	0.376	0.454	7	576
0.046	0.174	0.443	3	622
0.737	0.3	0.851	7	439
0.092	0.409	0.284	9	630
0.707	0.153	0.138	7	617
0.133	0.002	0.142	9	640
0.032	0.808	0.389	1	496
0.228	0.462	0.13	2	607
0.167	0.566	0.654	3	538
0.395	0.817	0.227	3	526
0.268	0.369	0.745	9	498
0.632	0.284	0.619	7	582
0.95	0.443	0.47	1	577
0.254	0.549	0.498	9	534
0.688	0.994	0.478	6	123
0.753	0.571	0.889	7	354
0.14	0.811	0.272	10	510
0.879	0.629	0.958	6	267
0.138	0.503	0.056	1	621
0.883	0.99	0.115	7	146
0.076	0.313	0.703	9	560
0.504	0.306	0.41	7	611
0.187	0.936	0.664	4	297
0.967	0.363	0.561	9	546
0.596	0.418	0.595	3	547
0.758	0.339	0.658	1	528
0.014	0.687	0.966	2	274
0.995	0.034	0.224	4	622
0.876	0.711	0.949	7	288
0.928	0.198	0.945	9	314
0.096	0.075	0.514	4	605
0.517	0.315	0.797	3	458
0.187	0.083	0.493	3	622
0.303	0.863	0.031	9	501
0.021	0.642	0.331	7	608
0.939	0.713	0.672	4	480
0.076	0.139	0.166	3	664
0.055	0.378	0.859	6	413
0.868	0.875	0.159	10	480
0.034	0.577	0.018	2	619
0.694	0.331	0.632	8	579
0.283	0.102	0.647	10	567
0.047	0.613	0.356	3	580
0.976	0.432	0.973	1	265
0.615	0.519	0.266	4	588
0.636	0.086	0.519	6	586
0.209	0.57	0.62	3	529
0.015	0.101	0.385	5	645
0.386	0.46	0.839	7	428
0.678	0.963	0.99	6	84
0.647	0.442	0.894	10	354
0.763	0.847	0.839	4	311
0.277	0.846	0.709	4	391
0.591	0.881	0.29	1	474
0.271	0.078	0.379	9	595
0.099	0.629	0.439	1	587
0.135	0.263	0.265	9	654
0.623	0.322	0.124	4	591
